# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,6.140010668786999e-07,0.035416286,1058,14.250885877001565,124.45757752400095
kirchhoff,0.0672122985124588,6.434458,None,None,121.99431912499858
newtons_first,1.7295179759457824e-06,5.408068,4984,61.077827102999436,121.68162571100038
newtons_second_law,0.01719951629638672,4.7344975,None,None,133.33988511899952
second_order_euler_test,21.622596740722656,nan,None,None,178.92835800899775
second_order_euler,0.001176791382022202,nan,None,None,158.85675252000146
second_1,0.0002617446589283645,nan,None,None,144.55589128300198
second_2,0.04012548178434372,nan,None,None,135.6772424860028
new_2nd_linear_1,1.9571498341974802e-05,nan,None,None,139.5908513860013
new_2nd_linear_2,0.0005082821589894593,nan,None,None,153.70003102400005
new_2nd_linear_3,9.676673471403774e-07,nan,1038,17.835427991998586,188.63403846800065
third_order,2694.056396484375,nan,None,None,266.415879709999
third_order_2,nan,nan,None,None,255.42727571400246
third_order_3,6.130682595539838e-05,nan,None,None,264.6455126460023
logistic_equation,1.9740242350962944e-05,nan,None,None,163.0663577489977
nonlinear,0.014072803780436516,nan,None,None,171.37477602199942
painleve_2_transcendent,3.1301060516852885e-05,None,7392,116.05167994699877,153.98138291099895
second_order_nonlinear,1.1374781731755476e-14,nan,50,1.946961696998187,208.0020421570007
van_der_pol,2.399336381131434e-06,None,8389,159.39615934999892,185.8965696189989
new_2nd_nonlinear_1,7.636143939393492e-10,nan,113,4.079814658998657,175.46529155399912
new_2nd_nonlinear_2,39327.5234375,nan,None,None,175.89034279200132
third_order_nonlin,1.9724659068742767e-05,nan,None,None,193.14771602799738
third_order_v2,0.029017124325037003,nan,None,None,196.0874949479985
