# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,6.140010668786999e-07,0.035416286,1058,13.63568188699901,126.57693848300005
kirchhoff,0.0672122985124588,6.434458,None,None,127.0905670889988
newtons_first,1.7295179759457824e-06,5.408068,4984,81.88811217599869,174.47391975999926
newtons_second_law,0.01719951629638672,4.7344975,None,None,184.36265249699863
second_order_euler_test,21.622596740722656,nan,None,None,208.7560468929987
second_order_euler,0.001176791382022202,nan,None,None,174.98647555299976
second_1,0.0002617446589283645,nan,None,None,178.83082224200007
second_2,0.04012548178434372,nan,None,None,214.63517444600075
new_2nd_linear_1,1.9571498341974802e-05,nan,None,None,171.17252104999898
new_2nd_linear_2,0.0005082821589894593,nan,None,None,159.69882252000025
new_2nd_linear_3,9.676673471403774e-07,nan,1038,15.89777630699973,134.43205467600092
third_order,2694.056396484375,nan,None,None,201.79638778800108
third_order_2,nan,nan,None,None,191.27351439999984
third_order_3,6.130682595539838e-05,nan,None,None,197.28639070499958
logistic_equation,1.9740242350962944e-05,nan,None,None,135.30540205800025
nonlinear,0.014072803780436516,nan,None,None,127.8258079520001
painleve_2_transcendent,3.1301060516852885e-05,None,7392,77.14836228000058,104.96707421000065
second_order_nonlinear,1.1374781731755476e-14,nan,50,1.4757600920002005,140.98186530100065
van_der_pol,2.399336381131434e-06,None,8389,160.82936775000053,191.70948206700086
new_2nd_nonlinear_1,7.636143939393492e-10,nan,113,3.54709381199973,176.4302178959988
new_2nd_nonlinear_2,39327.5234375,nan,None,None,177.1114324350001
third_order_nonlin,1.9724659068742767e-05,nan,None,None,239.18836851099877
third_order_v2,0.029017124325037003,nan,None,None,213.71585757199864
