# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,6.140010668786999e-07,0.035416286,1058,17.78710368099928,162.14524853699913
kirchhoff,0.0672122985124588,6.434458,None,None,161.30829436000204
newtons_first,1.7295179759457824e-06,5.408068,4984,81.48712224200062,159.4566437470021
newtons_second_law,0.01719951629638672,4.7344975,None,None,169.60205658300038
second_order_euler_test,21.622596740722656,nan,None,None,201.10921672399854
second_order_euler,0.001176791382022202,nan,None,None,182.8856912500014
second_1,0.0002617446589283645,nan,None,None,171.06423352099955
second_2,0.04012548178434372,nan,None,None,143.67013011000017
new_2nd_linear_1,1.9571498341974802e-05,nan,None,None,137.7118773479997
new_2nd_linear_2,0.0005082821589894593,nan,None,None,157.32974956399994
new_2nd_linear_3,9.676673471403774e-07,nan,1038,19.46793709299891,145.47540810200007
third_order,2694.056396484375,nan,None,None,209.50021017900144
third_order_2,nan,nan,None,None,237.07333481100068
third_order_3,6.130682595539838e-05,nan,None,None,304.3825348820028
logistic_equation,1.9740242350962944e-05,nan,None,None,210.1431401109985
nonlinear,0.014072803780436516,nan,None,None,182.25277106499925
painleve_2_transcendent,3.1301060516852885e-05,None,7392,105.96292978699785,141.01400098399972
second_order_nonlinear,1.1374781731755476e-14,nan,50,1.9267767009987438,170.6013017289988
van_der_pol,2.399336381131434e-06,None,8389,142.37345326099967,169.94515157999922
new_2nd_nonlinear_1,7.636143939393492e-10,nan,113,3.871463458999642,174.53619042300124
new_2nd_nonlinear_2,39327.5234375,nan,None,None,220.5667618630032
third_order_nonlin,1.9724659068742767e-05,nan,None,None,261.9476486110034
third_order_v2,0.029017124325037003,nan,None,None,253.9446656020009
