,run_nb,de_names,final_losses,final_errors,first_epoch_under_threshold,time_to_threshold,total_training_time,is_linear,order
0,0,test_de,6.140010668786999e-07,0.03541628643870354,1058.0,13.996546957,123.23726035099999,True,1
1,0,kirchhoff,0.0672122985124588,6.434457778930664,,,131.702327159,True,1
2,0,newtons_first,1.7295179759457824e-06,5.4080681800842285,4984.0,66.30610147599998,124.46887816700001,True,1
3,0,newtons_second_law,0.01719951629638672,4.734497547149658,,,133.330999368,True,2
4,0,second_order_euler_test,21.622596740722656,,,,134.79487427800007,True,2
5,0,second_order_euler,0.001176791382022202,,,,139.184189286,True,2
6,0,second_1,0.0002617446589283645,,,,139.11589781400005,True,2
7,0,second_2,0.04012548178434372,,,,164.34204552899996,True,2
8,0,new_2nd_linear_1,1.9571498341974802e-05,,,,190.96931447200018,True,2
9,0,new_2nd_linear_2,0.0005082821589894593,,,,188.20256156300002,True,2
10,0,new_2nd_linear_3,9.676673471403774e-07,,1038.0,16.20114598400005,152.42128102900006,True,2
11,0,third_order,2694.056396484375,,,,238.18618205500002,True,3
12,0,third_order_2,,,,,201.8620534260001,True,3
13,0,third_order_3,6.130682595539838e-05,,,,197.41624096299984,True,3
14,0,logistic_equation,1.9740242350962944e-05,,,,135.4284527259997,False,1
15,0,nonlinear,0.014072803780436516,,,,132.36675980399968,False,1
16,0,painleve_2_transcendent,3.1301060516852885e-05,,7392.0,85.60004058699997,116.77073946900009,False,2
17,0,second_order_nonlinear,1.1374781731755476e-14,,50.0,1.333411346000048,135.24505883500024,False,2
18,0,van_der_pol,2.399336381131434e-06,,8389.0,113.53821554900014,136.34957883100014,False,2
19,0,new_2nd_nonlinear_1,7.636143939393492e-10,,113.0,2.6680605869996725,160.89571509799998,False,2
20,0,new_2nd_nonlinear_2,39327.5234375,,,,181.08502225700022,False,2
21,0,third_order_nonlin,1.9724659068742767e-05,,,,212.63529604300038,False,3
22,0,third_order_v2,0.029017124325037003,,,,227.44549130099995,False,3
23,1,test_de,6.140010668786999e-07,0.03541628643870354,1058.0,14.420308031000332,131.9763317940001,True,1
24,1,kirchhoff,0.0672122985124588,6.434457778930664,,,129.97046561300021,True,1
25,1,newtons_first,1.7295179759457824e-06,5.4080681800842285,4984.0,64.61677991200031,129.93667545399967,True,1
26,1,newtons_second_law,0.01719951629638672,4.734497547149658,,,141.18520531299964,True,2
27,1,second_order_euler_test,21.622596740722656,,,,132.15371544399932,True,2
28,1,second_order_euler,0.001176791382022202,,,,158.09773965599925,True,2
29,1,second_1,0.0002617446589283645,,,,134.62047036900003,True,2
30,1,second_2,0.04012548178434372,,,,121.7754561769998,True,2
31,1,new_2nd_linear_1,1.9571498341974802e-05,,,,118.80264227499993,True,2
32,1,new_2nd_linear_2,0.0005082821589894593,,,,121.8665867640002,True,2
33,1,new_2nd_linear_3,9.676673471403774e-07,,1038.0,11.644053359999816,111.79765373999999,True,2
34,1,third_order,2694.056396484375,,,,193.61420497400013,True,3
35,1,third_order_2,,,,,198.76466218899986,True,3
36,1,third_order_3,6.130682595539838e-05,,,,180.6591110319996,True,3
37,1,logistic_equation,1.9740242350962944e-05,,,,128.40808786700018,False,1
38,1,nonlinear,0.014072803780436516,,,,131.96628658900045,False,1
39,1,painleve_2_transcendent,3.1301060516852885e-05,,7392.0,87.52810596099971,117.43411889700019,False,2
40,1,second_order_nonlinear,1.1374781731755476e-14,,50.0,1.3273353849999694,137.66340615700028,False,2
41,1,van_der_pol,2.399336381131434e-06,,8389.0,125.18108697400021,149.15386334999948,False,2
42,1,new_2nd_nonlinear_1,7.636143939393492e-10,,113.0,2.7695902249997744,163.88156430799972,False,2
43,1,new_2nd_nonlinear_2,39327.5234375,,,,163.79413140900033,False,2
44,1,third_order_nonlin,1.9724659068742767e-05,,,,205.51878336699974,False,3
45,1,third_order_v2,0.029017124325037003,,,,214.05860627099992,False,3
46,2,test_de,6.140010668786999e-07,0.03541628643870354,1058.0,15.554356560000087,139.81722593700033,True,1
47,2,kirchhoff,0.0672122985124588,6.434457778930664,,,137.30383088100007,True,1
48,2,newtons_first,1.7295179759457824e-06,5.4080681800842285,4984.0,69.42011025400006,133.84553983600017,True,1
49,2,newtons_second_law,0.01719951629638672,4.734497547149658,,,144.73837615699995,True,2
50,2,second_order_euler_test,21.622596740722656,,,,149.3967380160002,True,2
51,2,second_order_euler,0.001176791382022202,,,,190.93741491999936,True,2
52,2,second_1,0.0002617446589283645,,,,183.1845093640004,True,2
53,2,second_2,0.04012548178434372,,,,175.25368226200044,True,2
54,2,new_2nd_linear_1,1.9571498341974802e-05,,,,222.16694949200064,True,2
55,2,new_2nd_linear_2,0.0005082821589894593,,,,204.06280861199957,True,2
56,2,new_2nd_linear_3,9.676673471403774e-07,,1038.0,17.773162008001236,159.3881495910009,True,2
57,2,third_order,2694.056396484375,,,,236.06190925800001,True,3
58,2,third_order_2,,,,,213.3432440609995,True,3
59,2,third_order_3,6.130682595539838e-05,,,,191.69498801100053,True,3
60,2,logistic_equation,1.9740242350962944e-05,,,,136.75639106500057,False,1
61,2,nonlinear,0.014072803780436516,,,,137.74350207499992,False,1
62,2,painleve_2_transcendent,3.1301060516852885e-05,,7392.0,79.39003607000086,106.73729762100083,False,2
63,2,second_order_nonlinear,1.1374781731755476e-14,,50.0,1.5827803020001738,127.25526933699985,False,2
64,2,van_der_pol,2.399336381131434e-06,,8389.0,106.80307911599994,126.88112548500067,False,2
65,2,new_2nd_nonlinear_1,7.636143939393492e-10,,113.0,2.5475377940001636,126.84421831500003,False,2
