# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,0.00032557238591834903,0.24993932,100,1.7477394859999995,2.853519929
kirchhoff,0.0779058188199997,6.1977625,None,None,2.6722797939999996
newtons_first,33.134178161621094,10.255999,None,None,2.9747241829999993
newtons_second_law,0.0642349123954773,8.909447,None,None,5.180142616000001
second_order_euler_test,21.58075714111328,nan,None,None,5.456516819999997
second_order_euler,0.03215181455016136,nan,None,None,4.245278454999998
second_1,2.958712339401245,nan,None,None,4.683609111000003
second_2,0.13148805499076843,nan,None,None,4.141014319
new_2nd_linear_1,0.0036731259897351265,nan,174,3.6382421969999967,4.089315365999994
new_2nd_linear_2,0.9722563624382019,nan,None,None,4.376031806
new_2nd_linear_3,0.001075458712875843,nan,166,2.882730578999997,3.3084391080000017
third_order,85245.671875,nan,None,None,6.781132360000001
third_order_2,nan,nan,None,None,6.773614029000001
third_order_3,29.926836013793945,nan,None,None,6.592004906
logistic_equation,755.595458984375,nan,None,None,3.340020112000005
nonlinear,1.1091670989990234,nan,None,None,3.3396992890000092
painleve_2_transcendent,3.2253499031066895,None,None,None,2.718948628000007
second_order_nonlinear,4.527698216350018e-09,nan,24,1.007679932000002,3.9370559550000053
van_der_pol,0.24898084998130798,None,None,None,3.7726612809999835
new_2nd_nonlinear_2,60070.39453125,nan,None,None,4.289289188999987
third_order_nonlin,1.8396220207214355,nan,None,None,6.267126372000007
third_order_v2,135.8507537841797,nan,None,None,6.068365198000009
