# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,6.140010668786999e-07,0.035416286,1058,13.880563292999796,125.7754827159988
kirchhoff,0.0672122985124588,6.434458,None,None,160.31726327999968
newtons_first,1.7295179759457824e-06,5.408068,4984,82.50154564500008,162.42150177199983
newtons_second_law,0.01719951629638672,4.7344975,None,None,183.2339549799999
second_order_euler_test,21.622596740722656,nan,None,None,181.94036848799988
second_order_euler,0.001176791382022202,nan,None,None,168.10620339700108
second_1,0.0002617446589283645,nan,None,None,160.12170324699946
second_2,0.04012548178434372,nan,None,None,153.42041890300243
new_2nd_linear_1,1.9571498341974802e-05,nan,None,None,141.10972203500205
new_2nd_linear_2,0.0005082821589894593,nan,None,None,140.5004531859995
new_2nd_linear_3,9.676673471403774e-07,nan,1038,13.837167081001098,123.20229393699992
third_order,2694.056396484375,nan,None,None,185.38001895900015
third_order_2,nan,nan,None,None,188.98087835300248
third_order_3,6.130682595539838e-05,nan,None,None,192.11502237899913
logistic_equation,1.9740242350962944e-05,nan,None,None,160.11459396300052
nonlinear,0.014072803780436516,nan,None,None,130.70727237000028
painleve_2_transcendent,3.1301060516852885e-05,None,7392,78.4361238920028,105.93261746900316
second_order_nonlinear,1.1374781731755476e-14,nan,50,1.5934397509990958,127.07051951800167
van_der_pol,2.399336381131434e-06,None,8389,111.51719285099898,135.86166294599752
new_2nd_nonlinear_1,7.636143939393492e-10,nan,113,3.193898426998203,152.68654769099885
new_2nd_nonlinear_2,39327.5234375,nan,None,None,139.24921923799775
third_order_nonlin,1.9724659068742767e-05,nan,None,None,185.65790649599876
third_order_v2,0.029017124325037003,nan,None,None,231.0928803349998
