# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,0.00032557238591834903,0.24993932,100,1.8125302740000109,3.0655792729999973
kirchhoff,0.0779058188199997,6.1977625,None,None,3.25148052199998
newtons_first,33.134178161621094,10.255999,None,None,3.160433183000009
newtons_second_law,0.0642349123954773,8.909447,None,None,4.175221887999982
second_order_euler_test,21.58075714111328,nan,None,None,4.573161986999992
second_order_euler,0.03215181455016136,nan,None,None,4.677657326000002
second_1,2.958712339401245,nan,None,None,4.599559701000004
second_2,0.13148805499076843,nan,None,None,4.171869453999989
new_2nd_linear_1,0.0036731259897351265,nan,174,3.4381348240000023,3.825857474000003
new_2nd_linear_2,0.9722563624382019,nan,None,None,3.75035503700002
new_2nd_linear_3,0.001075458712875843,nan,166,2.5638128770000037,2.9637760990000004
third_order,85245.671875,nan,None,None,5.518093809999982
third_order_2,nan,nan,None,None,5.615412554000017
third_order_3,29.926836013793945,nan,None,None,5.901383990999989
logistic_equation,755.595458984375,nan,None,None,3.0213592590000076
nonlinear,1.1091670989990234,nan,None,None,3.4365969350000114
painleve_2_transcendent,3.2253499031066895,None,None,None,2.624457712000037
second_order_nonlinear,4.527698216350018e-09,nan,24,0.7435985600000095,2.9518750729999965
van_der_pol,0.24898084998130798,None,None,None,3.5515289749999965
new_2nd_nonlinear_2,60070.39453125,nan,None,None,3.7101299770000082
third_order_nonlin,1.8396220207214355,nan,None,None,5.893834010999967
third_order_v2,135.8507537841797,nan,None,None,5.941097049000007
