# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,6.140010668786999e-07,0.035416286,1058,17.373527226998704,145.74798659399676
kirchhoff,0.0672122985124588,6.434458,None,None,148.26029837199894
newtons_first,1.7295179759457824e-06,5.408068,4984,79.00943019200349,154.51494990600622
newtons_second_law,0.01719951629638672,4.7344975,None,None,173.30247003499971
second_order_euler_test,21.622596740722656,nan,None,None,150.2019736440052
second_order_euler,0.001176791382022202,nan,None,None,141.31884974499553
second_1,0.0002617446589283645,nan,None,None,155.63314490899938
second_2,0.04012548178434372,nan,None,None,143.1675565559999
new_2nd_linear_1,1.9571498341974802e-05,nan,None,None,141.97701237900037
new_2nd_linear_2,0.0005082821589894593,nan,None,None,146.23268389199802
new_2nd_linear_3,9.676673471403774e-07,nan,1038,15.311893568999949,128.83115312099835
third_order,2694.056396484375,nan,None,None,180.83051936099946
third_order_2,nan,nan,None,None,203.34254415800388
third_order_3,6.130682595539838e-05,nan,None,None,206.3297574870012
logistic_equation,1.9740242350962944e-05,nan,None,None,134.02869195699895
nonlinear,0.014072803780436516,nan,None,None,147.21570229100325
painleve_2_transcendent,3.1301060516852885e-05,None,7392,98.88021435200062,132.44488068400096
second_order_nonlinear,1.1374781731755476e-14,nan,50,2.0325095709995367,160.9800172280011
van_der_pol,2.399336381131434e-06,None,8389,125.19340977099637,148.59405094900285
new_2nd_nonlinear_1,7.636143939393492e-10,nan,113,3.270613186999981,146.7922966890037
new_2nd_nonlinear_2,39327.5234375,nan,None,None,145.30592197200167
third_order_nonlin,1.9724659068742767e-05,nan,None,None,186.73754441500205
third_order_v2,0.029017124325037003,nan,None,None,197.08380875000148
