# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,0.00032557238591834903,0.24993932,100,1.7971827519999994,3.420499989999999
kirchhoff,0.0779058188199997,6.1977625,None,None,3.1373874500000003
newtons_first,33.134178161621094,10.255999,None,None,2.8756762800000004
newtons_second_law,0.0642349123954773,8.909447,None,None,3.496861094
second_order_euler_test,21.58075714111328,nan,None,None,3.809430169999999
second_order_euler,0.03215181455016136,nan,None,None,3.8173598120000065
second_1,2.958712339401245,nan,None,None,3.771321075000003
second_2,0.13148805499076843,nan,None,None,3.688467109000001
new_2nd_linear_1,0.0036731259897351265,nan,174,3.1906827330000027,3.560946536000003
new_2nd_linear_2,0.9722563624382019,nan,None,None,3.6030781820000044
new_2nd_linear_3,0.001075458712875843,nan,166,2.6115061240000017,3.010878445000003
third_order,85245.671875,nan,None,None,5.430295150000006
third_order_2,nan,nan,None,None,5.552548931000004
third_order_3,29.926836013793945,nan,None,None,5.400819991999995
logistic_equation,755.595458984375,nan,None,None,2.8988282709999993
nonlinear,1.1091670989990234,nan,None,None,2.912336658000001
painleve_2_transcendent,3.2253499031066895,None,None,None,2.465782613000002
second_order_nonlinear,4.527698216350018e-09,nan,24,0.7638916410000007,3.0300074379999984
van_der_pol,0.24898084998130798,None,None,None,3.7655114899999944
new_2nd_nonlinear_2,60070.39453125,nan,None,None,3.956987898999998
third_order_nonlin,1.8396220207214355,nan,None,None,6.520346719000003
third_order_v2,135.8507537841797,nan,None,None,6.025740438000014
