test_de,9.659656825533602e-07,0.05554216355085373,4017,79.36181361599999,194.506440599
gompertz,4.593958405959414e-14,0.07485289871692657,70,3.8461857979999934,191.20854172699998
kirchhoff,0.0002442110562697053,5.284232139587402,None,None,211.98170014599998
newtons_first,5.585444000644202e-07,4.712813377380371,2998,62.301303673999996,206.837422146
newtons_second_law,0.0774766132235527,4.262451171875,None,None,248.47772695899994
second_order_euler_test,9.430376849195454e-06,nan,5845,156.6592071319999,265.056135907
second_order_euler,5.421983951237053e-05,nan,1017,25.823685009999963,241.4666749229998
second_1,6.532258987426758,nan,None,None,168.00990338899987
second_2,6.066895366529934e-06,nan,3236,51.4827694359999,158.99630193400003
third_order,20417.142578125,nan,None,None,204.9464996009997
third_order_2,nan,nan,None,None,197.27740203599978
third_order_3,0.0002563623711466789,nan,None,None,191.17213724899966
logistic_equation,1.0187237421632744e-05,nan,None,None,131.25824215600005
nonlinear,1.00969398021698,nan,None,None,130.93892084699974
third_order_nonlin,0.00041369113023392856,nan,None,None,187.965657664
third_order_v2,0.020997686311602592,nan,None,None,189.45973222299972
