# de_names, final_losses, final_errors, first_epoch_under_threshold, time_to_threshold, total_training_time
test_de,0.00032557238591834903,0.24993932,100,1.896585451,3.364967964999999
kirchhoff,0.0779058188199997,6.1977625,None,None,3.0758105869999994
newtons_first,33.134178161621094,10.255999,None,None,2.900962441000001
newtons_second_law,0.0642349123954773,8.909447,None,None,3.5952096440000005
second_order_euler_test,21.58075714111328,nan,None,None,4.590169029999998
second_order_euler,0.03215181455016136,nan,None,None,4.3213511780000005
second_1,2.958712339401245,nan,None,None,4.160126429999998
second_2,0.13148805499076843,nan,None,None,4.127963534000003
new_2nd_linear_1,0.0036731259897351265,nan,174,3.560968142,3.955111151000004
new_2nd_linear_2,0.9722563624382019,nan,None,None,3.975042748
new_2nd_linear_3,0.001075458712875843,nan,166,2.735847864,3.1972392549999924
third_order,85245.671875,nan,None,None,5.907838665
third_order_2,nan,nan,None,None,5.9853995529999935
third_order_3,29.926836013793945,nan,None,None,6.219938814999992
logistic_equation,755.595458984375,nan,None,None,3.1934266399999984
nonlinear,1.1091670989990234,nan,None,None,3.145481740000008
painleve_2_transcendent,3.2253499031066895,None,None,None,2.7130411810000084
second_order_nonlinear,4.527698216350018e-09,nan,24,0.8419375439999897,3.220496109999999
van_der_pol,0.24898084998130798,None,None,None,3.7602845669999994
new_2nd_nonlinear_2,60070.39453125,nan,None,None,3.920980918000012
third_order_nonlin,1.8396220207214355,nan,None,None,6.005012543999996
third_order_v2,135.8507537841797,nan,None,None,6.324992051999999
